corp_name,corp_code,stock_code,ceo_name,industry_code
주식회사 현대퓨처넷,00403632,126560,김성일,61299
한성기업(주),00161860,003680,"임우근,임준호(각자대표)",10211
(주)이아이디,00480950,093230,신정희,467
(주)현대백화점,00428251,069960,"정지선, 정지영 (각자대표)",47111
신라교역(주),00135962,004970,김호운,03111
(주)비에이치,00447609,090460,최영식,2622
(주)금양,00106119,001570,류광지,201
대성홀딩스(주),00108940,016710,대표이사 김영훈 대표이사 김정주,715
에이치디현대(주),01205709,267250,"권오갑, 정기선",64992
(주)영원무역홀딩스,00140964,009970,성래은,64992
에이치디현대에너지솔루션(주),01199550,322000,박종환,2612
(주)더블유게임즈,01010110,192080,김가람,5821
주식회사 현대그린푸드,01721809,453340,박홍진,471
(주)세아베스틸지주,00106669,001430,"이태성, 김수호",2411
주식회사 DB하이텍,00160843,000990,조기석,2611
(주)코람코라이프인프라위탁관리부동산투자회사,01430475,357120,이성균,6811
케이카 주식회사,01323032,381970,정인국,45120
명신산업(주),00173078,009900,최우철,303
(주)농심홀딩스,00459871,072710,박준,64992
평화산업(주),00573579,090080,"황순용, 김주영",303
(주)케이탑자기관리부동산투자회사,00861076,145270,"이명식, 조현만(각자대표이사)",68112
(주)케이티,00190321,030200,김영섭,612
(주)영원무역,00776820,111770,성기학,46800
(주)이수페타시스,00107613,007660,최창복,2622
대한제강(주),00113225,084010,이경백,2411
동일제강(주),00118451,002690,"민세홍, 양영석, 김우진 (각자대표)",24122
애경산업(주),00139454,018250,"채동석, 김상준",20422
주식회사 디앤디플랫폼위탁관리부동산투자회사,01475609,377190,이양원,681
영보화학(주),00140779,014440,김태훈,2225
(주)이스타코,00134565,015020,"김승제,김동현(각자대표)",68121
(주)신영와코루,00136624,005800,"이의평, 이성원",14120
하나제약(주),00248974,293480,최태홍,212
에이치디현대인프라코어(주),00344287,042670,"조영철, 오승현",29241
한화투자증권(주),00148610,003530,한두희,66121
에이치디현대미포 주식회사,00164609,010620,김형관,3111
주식회사 마스턴프리미어제1호위탁관리부동산투자회사,01442966,357430,정범식,681
주식회사 티와이엠,00117230,002900,"김희용, 김도훈",29210
(주)메타랩스,00442835,090370,하지성,141
